Product Name,Price,Composition,Expiration,Origin,Detail
라지콤보,"16,000",팝콘(L)2+탄산음료(L)2,구매일로부터 6개월 이내,팝콘(옥수수: 미국산),"<selenium.webdriver.remote.webelement.WebElement (session=""d4b78a9d86b89e449510d97b9a11f115"", element=""f.4EC1D563327B29854AE6D48781828BCD.d.229CE8123E7A31812448976AECC5C382.e.494"")>"
더블콤보,"14,000",팝콘(M)2+탄산(M)2,구매일로부터 6개월 이내,팝콘(옥수수: 미국산),"<selenium.webdriver.remote.webelement.WebElement (session=""d4b78a9d86b89e449510d97b9a11f115"", element=""f.4EC1D563327B29854AE6D48781828BCD.d.B4502E28176DC85510152C5EC26D346A.e.3410"")>"
CGV콤보,"11,000",팝콘(L)1+탄산음료(M)2,구매일로부터 6개월 이내,팝콘(옥수수: 미국산),"<selenium.webdriver.remote.webelement.WebElement (session=""d4b78a9d86b89e449510d97b9a11f115"", element=""f.4EC1D563327B29854AE6D48781828BCD.d.E78E3D8A9B1793EB9F184958486D8D68.e.6325"")>"
스몰세트,"7,000",팝콘(M)1+탄산음료(M)1,구매일로부터 6개월 이내,팝콘(옥수수: 미국산),"<selenium.webdriver.remote.webelement.WebElement (session=""d4b78a9d86b89e449510d97b9a11f115"", element=""f.4EC1D563327B29854AE6D48781828BCD.d.A90AD73394CB7D01A09C663955687625.e.9245"")>"
더블치즈팝콘(L),"7,000",더블치즈팝콘(L),구매일로부터 6개월 이내,팝콘(옥수수: 미국산),"<selenium.webdriver.remote.webelement.WebElement (session=""d4b78a9d86b89e449510d97b9a11f115"", element=""f.4EC1D563327B29854AE6D48781828BCD.d.C87BAB7BDC1F609A6A787D39C4241D06.e.12433"")>"
바질어니언팝콘(L),"7,000",바질어니언팝콘(L),구매일로부터 6개월 이내,팝콘(옥수수: 미국산),"<selenium.webdriver.remote.webelement.WebElement (session=""d4b78a9d86b89e449510d97b9a11f115"", element=""f.4EC1D563327B29854AE6D48781828BCD.d.27B2E277D90A031EF7DFCD5FDD2FA690.e.15479"")>"
달콤팝콘(L),"7,000",달콤팝콘(L),구매일로부터 6개월 이내,팝콘(옥수수: 미국산),"<selenium.webdriver.remote.webelement.WebElement (session=""d4b78a9d86b89e449510d97b9a11f115"", element=""f.4EC1D563327B29854AE6D48781828BCD.d.E677180892FE70C72C50767E427AD51A.e.18530"")>"
고소팝콘(L),"6,000",고소팝콘(L),구매일로부터 6개월 이내,팝콘(옥수수:미국산),"<selenium.webdriver.remote.webelement.WebElement (session=""d4b78a9d86b89e449510d97b9a11f115"", element=""f.4EC1D563327B29854AE6D48781828BCD.d.7D4BEC246CDFDC72C797164530180C5A.e.21571"")>"
더블치즈팝콘(M),"6,000",더블치즈팝콘(M),구매일로부터 6개월 이내,팝콘(옥수수: 미국산),"<selenium.webdriver.remote.webelement.WebElement (session=""d4b78a9d86b89e449510d97b9a11f115"", element=""f.4EC1D563327B29854AE6D48781828BCD.d.F235D6BC01B600AC4D1ACC97765C57D2.e.24620"")>"
바질어니언팝콘(M),"6,000",바질어니언팝콘(M),구매일로부터 6개월 이내,팝콘(옥수수: 미국산),"<selenium.webdriver.remote.webelement.WebElement (session=""d4b78a9d86b89e449510d97b9a11f115"", element=""f.4EC1D563327B29854AE6D48781828BCD.d.C325C8D74914BC23A83CE96030FC693A.e.27674"")>"
