,Korean Name,English Name,Image Url,Explanation,Category,Factors,kcal,sat_FAT,protein,fat,trans_FAT,sodium,sugars,caffeine,cholesterol,chabo
0,소시지 프레첼 소금빵,Sausage Pretzel Salted Bread,https://image.istarbucks.co.kr/upload/store/skuimg/2024/04/[9300000005262]_20240424133619220.jpg,버터 풍미 가득한 프레첼 소금빵에 훈제된 도톰한 소시지와 홀그레인 머스터드가 맛의 조화를 이룬 든든한 간식용 소시지 브레드 입니다.,product_bakery,알레르기 유발요인 : 대두 / 우유 / 달걀 / 밀 / 돼지고기 / 쇠고기,473,12,15,29,0.4,1147,3,0,36,38
1,바질 토마토 크림치즈 베이글,Basil Tomato Cream Cheese Bagel,https://image.istarbucks.co.kr/upload/store/skuimg/2021/03/[9300000003223]_20210315170846227.jpg,"바질, 반건조 토마토, 크림치즈의 조합이 이색적인 베이글로 크림치즈가 듬뿍 샌드되어 든든하게 즐길 수 있습니다.",product_bakery,알레르기 유발요인 : 우유 / 밀 / 토마토,517,12,14,21,0.5,804,17,0,49,68
2,탕종 블루베리 베이글,Blueberry Bagel,https://image.istarbucks.co.kr/upload/store/skuimg/2023/09/[9300000004823]_20230911131337469.jpg,"달콤한 블루베리와 탕종법으로 반죽한 후 고온에서 데치고, 짧게 구워 내 쫄깃하고 촉촉한 식감이 특징인 블루베리 베이글입니다.",product_bakery,알레르기 유발요인 : 대두 / 우유 / 밀,240,1.9,7,2.8,0.5,550,9,0,0,47
3,탕종 파마산 치즈 베이글,Parmesan Cheese Bagel,https://image.istarbucks.co.kr/upload/store/skuimg/2023/09/[9300000004834]_20230911131406370.jpg,"파마산 치즈와 탕종법으로 반죽한 후 고온에서 데치고, 짧게 구워 내 쫄깃하고 촉촉한 식감이 특징인 파마산 치즈 베이글입니다.",product_bakery,알레르기 유발요인 : 대두 / 우유 / 밀,255,3.2,7,4.9,0.5,660,7,0,10,46
4,탕종 플레인 베이글,Plain Bagel,https://image.istarbucks.co.kr/upload/store/skuimg/2023/09/[9300000004833]_20230911131305917.jpg,"탕종법으로 반죽한 후 고온에서 데치고, 짧게 구워 내 쫄깃하고 촉촉한 식감이 특징인 플레인 베이글입니다.",product_bakery,알레르기 유발요인 : 대두 / 우유 / 밀,235,1.9,7,3,0.5,600,6,0,0,45
5,포테이토 어니언 크림치즈 베이글,Potato Onion Cream Cheese Bagel,https://image.istarbucks.co.kr/upload/store/skuimg/2023/05/[9300000004487]_20230515094824984.jpg,쫄깃한 탕종 베이글 사이에 어니언 칩으로 맛을 낸 크림치즈와 매쉬드 포테이토를 샌드한 베이글입니다.,product_bakery,알레르기 유발요인 : 대두 / 우유 / 달걀 / 밀 / 쇠고기 / 아황산류,528,13,14,24,0.7,832,14,0,41,64
6,미니 클래식 스콘,Mini Classic Scone,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[5110001099]_20210421161145813.jpg,미니 사이즈의 담백한 스콘입니다.,product_bakery,알레르기 유발요인 : 우유 / 달걀 / 밀,456,15,7,25,0.6,383,12,0,82,51
7,클래식 스콘,Classic Scone,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9300000001557]_20210422112532988.jpg,프랑스산 고급 버터로 만든 담백한 스콘입니다. ,product_bakery,알레르기 유발요인 : 우유 / 달걀 / 밀,481,16,7,25,0.6,448,12,0,68,57
8,피넛 쑥 떡 스콘,Peanut Mugwort Rice Cake Scone,https://image.istarbucks.co.kr/upload/store/skuimg/2022/03/[9300000004028]_20220314152821343.jpg,쫄깃한 떡을 넣은 쑥 스콘 위에 땅콩을 넣은 소보로를 올린 달콤하고 고소한 스콘입니다.,product_bakery,알레르기 유발요인 : 땅콩 / 우유 / 알류 / 밀,490,6,7,26,0.5,540,27,0,95,57
9,거문 오름 크루아상,Black Mountain Croissant,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9300000001361]_20210421133918912.jpg,[제주지역 한정푸드] 제주도의 현무암을 크루아상에 오름 모양을 아몬드 페이스트로 형상화하여만든 크루아상입니다.,product_bakery,알레르기 유발요인 : 대두 / 우유 / 알류 / 밀 / 오징어,391,14,7,27,0,367,16,0,113,30
